,Name,Actors,Introduction,Date
21,深海历险记,张璐/陈红/张云龙/杨希/郭政建/张遥函,《深海历险记》这部影片是由由Julio Soto Gurpide、陈红执导，张璐、陈红、张云龙、杨希、郭政建、张遥函、胡静、刘琮、敖磊、贾小军、王敏纳为其配音的喜剧冒险动画片，于2018年8月17日在中国上映，据悉，该影片主要是讲述了在遥远的未来，海水淹没陆地，人类几乎全部飞离了地球，只剩几个人类在水底等待最后的发射，整个地球只剩下海水和海洋生物。一只爱冒险，名叫“深深”的章鱼以及仅存的水生动物同类们，在传说中的“海霸琨爷”（大章鱼）的保护下，生活在一个神秘的海底洞穴。但一起意外摧毁了他们的家，“深深”和他的朋友必须前去人类之城找到琨......详情>>,上映：2018年08月17日
22,致所有我曾爱过的男孩,拉娜·康多/约翰·考伯特/贾娜尔·帕里希/诺亚·桑蒂尼奥/伊瑟瑞尔·布罗萨德,《致所有我曾爱过的男孩》这部影片是由苏珊·约翰逊执导，拉娜·康多、约翰·考伯特、贾娜尔·帕里希、诺亚·桑蒂尼奥、伊瑟瑞尔·布罗萨德等参演，于2018年8月17日上线，据悉，该影片主要是讲述了16岁女主人公劳拉·简·科维给每一个她迷恋的男孩写情书，用尽真情实感来表达现实里开不了口的心情，将信保存在一个帽箱里，不过有一天这些秘密情书被公之于众，她的生活也陷入了天翻地覆的混乱之中的故事。...详情>>,上映：2018年08月17日
23,神秘世界历险记4,阎萌萌/赵一博/图特哈蒙/张磊/郭政建,《神秘世界历险记4》这部影片是由由王云飞执导，孟泉霖、刘露、姜广涛等人参与配音，于2018年8月3日上映，据悉，该影片主要是讲述了科学家雨果妈在一次科考途中失踪，爱女心切的王大山一直对雨果隐瞒着这个消息，直到某天这个秘密被雨果发现。大山带雨果来到当初的科考营地，发现科考队的失踪和神秘世界有关！父女再次进入神秘世界，寻找雨果妈的故事。...详情>>,上映：2018年08月17日
24,爱情公寓,陈赫/孙艺洲/娄艺潇/李金铭/邓家佳/李佳航,《爱情公寓》这部影片是由腾讯影业出品，陈赫、孙艺洲、娄艺潇、李金铭、邓家佳等主演，预计在2018年8月10日上映，据悉，该影片目前正在正在筹备中，后续将会陆续更新，敬请期待！曾小贤、胡一菲、吕子乔、张伟、唐悠悠、陈美嘉悉数回归，还是熟悉的场景和熟悉的人，嘻嘻哈哈、打打闹闹，笑声从没停过。老朋友的故事将继续展开，印证了电视剧的那句主题语——“最好的朋友在身边，最爱的人就在对面”。不过这一次，他们打算搞个大事情。...详情>>,上映：2018年08月17日
25,名将之后,李世宏/关飞扬/陈嘉铭/杨致远/蔚岩峰,《名将之后》是南京红色齿轮影视传媒有限公司出品的儿童励志电影，该片由李金林执导，李世宏、关飞扬领衔主演，于2018年2月17日台湾上映，于2018年8月3日在中国重映，据悉，该影片主要是讲述了帝王之乡小胖遭同是留守儿童的大个石磊欺负，毛蛋相传岳飞的后人，出头复仇未果反被羞辱，为争一口英雄气节，毛蛋，小胖王福三人篝火结拜，私密铸枪，起誓要教训石磊，后来不但“大事”未成，伙伴王福也被妈妈接走，毛蛋在另外一群拥护者的支持下，开始制造真正的武器战马，正等到一雪前耻那一天，不料石磊跛腿的父亲赶来制止“决战”并将石磊打骂带走，毛蛋不战而胜，却心情......详情>>,上映：2018年08月17日
26,三十那年,尤天翔/韩振国/宋维芝/郑梦琪/侯耀华,《三十那年》这部影片是由是一部由导演郑晓东编剧并执导的电影， 尤天翔、韩振国、宋维芝、郑梦琪等主演、侯耀华客串出演，于2018年8月3日上映，据悉，该影片主要是讲述了梦想藏在每个人的心中，有的人会把它藏一辈子，有的人会不顾一切的去追逐梦想，卢鹏程就是后者！在追逐梦想的路上，充满了坎坷和不如意。但是他的倔强与坚韧最终让他寻找到了梦想的光环。...详情>>,上映：2018年08月17日
27,勇者闯魔城,,《勇者闯魔城》这部影片是由杨汉钊执导，预计在2018年8月3日上映，据悉，该影片主要是讲述了天庭三位小神仙，小智、小仁、小勇通过参加天庭举办的《勇气去哪儿》大型真仙现场直播节目，锻炼了三小仙的勇气，增强了相互友情，也使他们感悟到合作精神的重要性及对生命的热爱。...详情>>,上映：2018年08月17日
28,最后的棒棒,何苦,《最后的棒棒》这部影片是由何苦执导并主演，预计在2018年8月17日上映，据悉，该影片主要是讲述了改革开放之初，山城重庆特殊的地理环境孕育了一个特殊的行业， 山城棒棒军。爬坡上坎，负重前行的三十多年，数十万棒棒大军不仅挑走了汗水浸泡的年华，也挑走了属于自己的年代。癸巳岁末，几个佝偻背影即将道别正在消逝的行业，一名退役中校扛起一根棒棒开始了自己的追寻：辉煌与尴尬，艰韧和无奈，他们的人生无须评说，他们的故事值得铭记。...详情>>,上映：2018年08月17日
29,下一任：前任,郭采洁/郑恺/李东学/谢依霖,《下一任：前任》这部影片是由陈鸿仪执导，郭采洁、郑恺、李东学、谢依霖主演，预计在2018年8月17日上映，据悉，该影片主要是讲述了林心恬暗恋黄克群许久，长大后两人无数次错过，又遇到一些缘分不到的爱情，以为此生不会再见。最终，在两人的努力和坚持下，走到了一起的故事。...详情>>,上映：2018年08月17日
30,大三儿,,《大三儿》这部影片是由佟晟嘉导演执导的普通百姓生活价值的纪录片，于2018年4月8日在北京电影节首映，于2018年8月20日在中国大陆上映，主要是讲述了“大三儿”在内蒙古昭乌达盟一个铜业公司日复一日的工作中，突然萌生了要去西藏旅行的念头。但因身体原因，他的这个想法遭受了一些非议，但大三儿想尽办法，最终在朋友的照顾下踏上了前往西藏的旅程的故事。...详情>>,上映：2018年08月17日
31,黑子的篮球：终极一战,小野贤章/小野友树/神谷浩史/诹访部顺一/小野大辅/木村良平,《黑子的篮球：终极一战》这部影片是改编自藤卷忠俊创作的漫画作品《黑子的篮球 EXTRA GAME》，小野贤章、小野友树 、神谷浩史 、诹访部顺一、小野大辅、 木村良平、 铃村健一、 绿川光、 稻田彻联合配音，于2017年3月18日在日本上映，于2018年8月24日在中国上映，据悉，该影片主要是讲述了黑子哲也及火神大我加入了诚凛高中篮球队。相对于有着绝佳球感的火神，黑子却是一名在场上“几乎没有存在感”的球员。但其实，黑子曾是篮球强校帝光国中篮球队的一员，曾与被称为“奇迹时代”的5位天才并肩战斗，以“梦幻的第6人”的称号活跃在篮球场上。...详情>>,上映：2018年08月17日
32,美丽战争,那广子/马国明/孟广美/谭耀文/罗彬,《美丽战争》这部影片是由国晟传奇影业(北京)有限公司出品，陈勋奇执导，那广子、孟广美、谭耀文、马国明、罗彬主演，预计在2018年8月24日上映，据悉，该影片主要是讲述了前超模（那广子）历经磨难参加全能超模比赛，在此过程中寻找到自我与真爱的励志故事。在演出庆功宴上，看似平静实则妒火中烧的超模安薇薇因得知男友背叛而当众宣布决裂，酒后冲动飙车遭遇车祸，小腿遭截肢，超模生涯结束，命运跌入低谷，在短暂的痛苦挣扎后，她毅然决定使用义肢重回T台，在超模大赛一场场艰难关卡考验中，安薇薇吃尽苦头，在一次次难以预料的困境与柳暗花明的转机间，她似乎也慢慢了......详情>>,上映：2018年08月17日
33,大师兄,甄子丹/陈乔恩/骆明劼/喻亢/云千千/汤君慈,《大师兄》这部影片是由是由阚家伟执导、甄子丹、陈乔恩、骆明劼、喻亢、云千千主演，预计在2018年8月24日上映，据悉，该影片主要是讲述了一名退伍特种兵，在曾经校长的推荐下，回到母校教书，在教书过程中，和学生斗智斗勇的故事。新当老师的陈侠一入职便遇上学校杀校危机，又要面对一众品学皆劣的问题学生，包括好勇斗狠的伟聪、印巴籍祖发、男人头得男、专注力不足的启程及只会打游戏机的启贤，陈侠运用非常教学的手法，化解每位学生的问题，终把全班学生收服。正当一切渐入佳境时，班内却发生严重事故，班主任陈侠成为公审对象。陈侠的教师资格更面临被教育局吊销。当师......详情>>,上映：2018年08月17日
34,足球王者,未知/未知/未知/未知/未知,《足球王者》这部影片是由刘骏、牛志远联合执导，预计在2018年8月10日商业险，据悉，该影片主要是讲述了一个因伤黯然退役的父亲与热爱足球运动的子女关于足球爆发的矛盾冲突，与此同时，邪恶势力盯上孩子们，父亲与孩子们一起对抗邪恶势力的故事。21世纪50年代的故事，足球已经成为国内不可或缺的体育运动，参与者众多，前国家队队员罗纳德在2038年带领中国队第一次夺得世界杯后，因为一次事故退出了足球行业，回到老家以开海鲜排挡为生，生活从风光回归平淡。但是罗纳德的3个孩子对足球的热爱，让这一切的平淡被打破……...详情>>,上映：2018年08月17日
35,封门笔仙,杜学成/赵闪闪/江兰萱/发哥/李默兰琦/粟军,《封门笔仙》这部影片是由杜学成、赵闪闪、兰萱、发哥、李默兰琦、粟军、陈康、何柔熹主演，预计在2018年8月10日上映，据悉，该影片主要是讲述了金子因为未婚妻在探险封门村直播时失踪，他带着哥们万胖子和田四眼赶去营救，不料却掉进鬼村的重重迷雾中，最后他终于破解了谜底，救回了未婚妻的故事，...详情>>,上映：2018年08月17日
36,他是一只狗,雷璐璐/许贵源/徐嘉洲/武正鉌,《他是一只狗》这部影片是由孙健、杨昕雨执导，雷璐璐、许贵源、徐嘉洲、武正鉌等主演，预计在2018年8月17日上映，据悉，该片讲述的是来自外太空的一只狗来到地球寻找梦中注定的人，守护她直到生命的终结，这样一个奇异浪漫的爱情故事。...详情>>,上映：2018年08月17日
37,七袋米,阿诺德雷·耶斯/苏·普拉多/米科·劳伦特/米尔·埃斯皮诺萨/阿方索·伊尼戈·德伦,《七袋米》这部影片是由阿诺德雷·耶斯、苏·普拉多、米科·劳伦特 、米尔·埃斯皮诺萨、阿方索·伊尼戈·德伦主演，预计在2018年8月24日上映，据悉，该影片主要是讲述了在伊莎贝拉的稻田上，耶密一家过着简单纯朴的生活，家里没有电，靠着丰收后剩余的7袋稻米维持生活。爸爸开垦种地，妈妈外出打工，支撑着这个家并扶持孩子们上学；利托、巴隆也愈发懂事，照顾妹妹、捞蛤蜊、捉蟋蟀、拾稻穗……补贴家用，四岁的雪莉终于说话了，巴隆也考了全班第一。但幸福的一家只剩下一袋稻米，妈妈不得不再次含泪离别……...详情>>,上映：2018年08月17日
38,让我怎么相信你,梁天/安乙荞/文松/曹艳艳/叶萌/谢梦华,《让我怎么相信你》这部影片是由北京好来西影视策划有限公司、HLX Film making Co.、电影频道节目中心出品，梁青儿、梁小凉执导，梁天，安乙荞，文松，闫妮，关婷娜，曹艳艳，叶萌，谢梦华，杨荞安主演，预计在2018年8月24日上映，据悉，该影片主要是讲述了女儿恋爱事业受挫，投奔关系疏离的父亲。却遭到父亲女友一家占房。走投无路应咖啡商阿文之邀前往云南散心。父亲因欠赌债，需要女儿签字同意才能抵房还债，只得一路跟来。他不仅要应付追债马仔，哄骗女儿签字，还要智斗阿文。还债期限将至，一连串麻烦让他不得不做出一个重大决定。...详情>>,上映：2018年08月17日
39,旅行吧！井底之蛙,王雪沁/吴凡/周宗禹/强光宗/张艺文/唐泽宗,《旅行吧！井底之蛙》这部影片是由陈设执导，王雪沁、吴凡、周宗禹、强光宗、张艺文、唐泽宗、濮心宇等为其配音，预计在2018年8月18日上映，该影片主要是讲述了一只井底的青蛙威尔，来到人类的世界，冒充一名被施咒的王子，帮助城堡中的小公主苏菲亚粉碎皇叔班特的阴谋，成功继承皇位，成为女王。而自己也带着爱人萝拉回归井下，告诉同伴井外的世界很大很大。...详情>>,上映：2018年08月17日
40,奇怪的袜子精灵,克里斯托弗·哈德克,《奇怪的袜子精灵》这部影片是由捷克鼎力支持制片公司出品，克里斯托弗·哈德克主演，预计在2018年8月24日上映，据悉，该影片主要是讲述了袜子精灵是一种生存在人类周围的小生物，他们以人类的袜子为食，但每次只吃掉一双中的一只。本片讲述了主人公——一个叫做希力咕的袜子精灵和他寻找亲人的冒险旅程。 希力咕的爷爷在去世之前想见一见他的孩子，所以被他从小抚养长大的希力咕必须学会克服他的恐惧，离开他们住的地方并找到他叔叔——他以前并未听说过他的存在。一路上他的脑海中都是爷爷的音容笑貌：爷爷教导他要有勇气，爷爷十分重视对家庭的爱，爷爷所要求应有的良好......详情>>,上映：2018年08月17日
41,鬼吹灯之云南虫谷,,《鬼吹灯之云南虫谷》这部影片是由光线传媒出品，预计在2018年9月30日播出上映。该影片主要讲述了云南发现了一座金字塔形古墓——献王墓，古墓里传闻陪葬有可以救人性命的雮尘珠，摸金校尉深入瘴疠之地，再探古墓奇险，从而引出了一系列故事。三个摸金校尉依照一张人皮地图穿过遮龙山下古滇国秘密地下水道，不料遭遇千年痋术机关，成千上万个奴隶制成的“痋俑”像炸弹一样倒悬在洞顶，当它们接二连三地落入水中，引发的却是一连串的弱肉强食，一物降一物......丛林中夜现SOS电码，是曾经葬身此地的飞虎队队员怨魂作祟，还是献王的大祭师设下的迷局……...详情>>,上映：2018年09月30日
42,影,邓超/孙俪/郑恺/王千源/胡军/关晓彤,《影》这部影片是由张艺谋执导，邓超、巩俐、郑恺、王千源、胡军等主演，预计在2018年9月30日上映，据悉，该影片目前正在积极筹备中，后续将会陆续更新演员以及剧情信息，敬请期待！这是一个关于替身的故事。替身自古有之，人称“影子”。有刺杀，就有影子，影子必须在危急关头挺身而出，替主人博回一命；影子又必须与真身互为一体，令旁人真假难辨如同孪生。若无真身，影子何在？关于影子的来龙去脉，真身从来忌讳莫深，不愿提及而令真相扑朔迷离。是愿做真身，还是愿做影子？是明处做人，还是暗处做鬼，换作是你，如何选择？...详情>>,上映：2018年09月30日
43,胖子行动队,包贝尔/文章/李成敏/许君聪/曾一竣/张梦露,《胖子行动队》这部影片是由剧角映画、河马影业联合出品，包贝尔执导，文章，包贝尔，李成敏，辣目洋子主演，预计在2018年9月30日上映，据悉，该影片主要是讲述了两个胖子阴错阳差组成了特别行动队，介入一起贩毒案件中，上演了一场啼笑皆非的特工之旅。文章、包贝尔将在片中以300斤的形象出镜，组成“超重”量级特工CP，克拉拉这次将以“呆萌”的形象示人，辣目洋子则负责扮“美艳”的故事。...详情>>,上映：2018年09月30日
44,江湖儿女,廖凡/赵涛/徐峥/冯小刚/刁亦男/张一白,《江湖儿女》这部影片是由上海电影集团公司、北京西河星汇影业有限公司、欢喜传媒、MK2以及北野武工作室共同出品，贾樟柯编剧执导，廖凡、赵涛领衔主演，预计在2018年9月21日上映，主要是讲述了在2001年，山西塞外城市，模特巧巧与出租车公司老板斌哥本是一对恋人，斌哥每天在外面呼朋唤友，巧巧希望能够尽快进入婚姻，斌哥在街头遭到竞争对手的袭击，巧巧慌乱中发现斌哥的公文包中有自制火枪，她朝天鸣枪进而引发了一系列的故事。...详情>>,上映：2018年09月30日
45,墙里有钟的房子,凯特·布兰切特/杰克·布莱克,电影《墙里有钟的房子》由安培林娱乐公司投拍，伊莱·罗斯指导，埃里克·克莱普克改编，凯特·布兰切特、杰克·布莱克主演，大概于2019年上映。影片讲述了一个哥特风格的惊悚故事，十岁的刘易斯在父母去世后跟随巫师舅舅生活，而舅舅房子曾经的主人是一对致力于研究黑魔法，想要以此来毁灭世界的夫妻，他们在房间的墙壁里埋藏了一只可以毁灭世界的钟表。故事的转折点是刘易斯不小心唤醒了恶魔夫妻，世界面临着被毁灭的危险，他不得不试图阻止他们……...详情>>,上映：2018年09月30日
46,李茶的姑妈,黄才伦/艾伦/宋阳/卢靖姗,《李茶的姑妈》这部影片是由北京开心麻花影业有限公司出品，吴昱翰执导，黄才伦 、艾伦、宋阳主演，于2018年9月30日上映，据悉，该影片是根据同名话剧改编，主要是讲述了李茶的姑妈是一名“大富翁”，由于李茶的姑妈要订婚了，各家亲戚为了姑妈的财富进而引发了一系列搞笑的故事。...详情>>,上映：2018年09月30日
